#q1           q2            q3            q4            lamb1         lamb2         lamb3         lamb4         
2.5248864388347012e-16  1.0000000000000000e+00  2.0026053049843437e-01  2.2523054097910156e+00  2.4224056098920319e-01  2.9095570003554540e-02  -1.1062991486244567e-01  1.1191569224225410e-01  
-5.4228662675094743e-17  1.0000000000000000e+00  1.4114544143639085e-01  2.2550564377883320e+00  1.6542541726374585e-01  5.4196777951483296e-02  -7.4401169020550037e-02  1.0233786017089117e-01  
5.6025129718047539e-16  1.0000000000000004e+00  4.2409281409123234e-01  2.2064143032817256e+00  6.5440751899678296e-01  -1.9873103221182170e-01  -3.3497620652532539e-01  2.0662994569379195e-01  
8.8987781779736957e-16  1.0000000000000002e+00  -2.6653990559496854e-01  1.8669632766968718e+00  -5.5192535448486191e-01  -7.1074752571208077e-01  3.1104757059192001e-01  3.5756124063294226e-01  
0.0000000000000000e+00  9.9999999999999967e-01  -1.1735983177167451e-01  2.4673833053887591e+00  -1.0734998284259921e-01  2.5027332125122403e-01  4.3947397341477873e-02  5.2173322021891622e-02  
0.0000000000000000e+00  1.0000000000000002e+00  5.7697555134470113e-01  2.6295968162320009e+00  6.7494438104060583e-01  1.3833511912697027e-01  -3.1816359320232385e-01  1.2112575563854235e-01  
7.9071370609657588e-17  9.9999999999999967e-01  -3.5877094570942827e-03  2.4533867372123641e+00  -3.2648847849934257e-03  2.5127994953056021e-01  1.3307790443232515e-03  5.0690583830435454e-02  
-1.1427613041294878e-16  1.0000000000000000e+00  3.0518174465081466e-01  2.3299006347045119e+00  3.6330030126796542e-01  5.8379398430505776e-02  -1.6631203618268295e-01  1.1111068212425050e-01  
7.7483612045539791e-17  1.0000000000000002e+00  -9.5631442570165592e-02  2.4009912816037060e+00  -9.3492468386622257e-02  2.0307929908804734e-01  3.9197691118240695e-02  6.3003872785922607e-02  
1.3551964195375748e-16  1.0000000000000002e+00  3.7921940056888204e-01  2.3782385545012845e+00  4.5754414548362699e-01  5.9369911121688969e-02  -2.1218525816364497e-01  1.1801323240501781e-01  
0.0000000000000000e+00  1.0000000000000000e+00  2.1648113977194788e-01  2.4303069526881380e+00  2.1631693424901813e-01  1.9438564247549039e-01  -9.2028782788060495e-02  6.9023812164569404e-02  
