#q1           q2            q3            q4            q5            q6            lamb1         lamb2         lamb3         lamb4         lamb5         lamb6         
-4.1974896830855020e-15  1.0000000000000022e+00  3.0186736250160733e+00  1.6820923117505036e+01  9.5247722801315078e+01  5.7800891595712778e+02  1.1251294385834731e+00  1.0158688060914629e+00  -6.6784789481018580e-01  1.7094224396007091e-01  -2.0786884270392846e-02  9.8447110186410157e-04  
4.0940069274076270e-16  1.0000000000000000e+00  -8.1815909773950757e-01  2.6364160043870886e+00  -4.3208352901589038e+00  1.0626531030860711e+01  -1.1522034687976295e+00  -3.8207923346523709e-01  3.8551053316441936e-01  3.8618614952496239e-01  1.6045759574667343e-01  3.3004658199812534e-02  
-1.5409575052617841e-16  1.0000000000000000e+00  3.2205654261675465e-01  2.4016687831509045e+00  1.8559686957709365e+00  8.2687684596492907e+00  3.4005008790679819e-01  2.3007733923229517e-01  -1.2851296405518148e-01  3.2468787427168702e-02  -7.5933799441057276e-03  8.5171677589596304e-03  
2.1176770974773028e-16  1.0000000000000004e+00  8.4141789003827502e-02  1.9659976120673130e+00  3.9586473640782738e-01  4.8927334449435431e+00  5.8820450234707722e-02  2.0834284201577533e-01  4.9354476422666146e-02  -1.9767782755651911e-01  -3.2297810844181700e-02  7.4577274932324092e-02  
-8.4724645418653350e-16  1.0000000000000002e+00  -1.0968551296136110e-01  1.9448530288178723e+00  -4.7464519033447694e-01  4.8328680443787997e+00  -1.8391845001473173e-01  -5.2708502512016864e-02  7.7217639115364264e-02  -2.0305893305282728e-02  7.3680348168137485e-03  4.5048471077890270e-02  
-1.0741664191462171e-16  1.0000000000000000e+00  3.4117395409366263e-01  2.2078660480977179e+00  1.7031554500385688e+00  6.6839814292376145e+00  4.4881333977665211e-01  1.0917108690060548e-01  -1.6898921343322834e-01  2.0334225619734039e-02  -1.8838351617679990e-02  2.3326022352527759e-02  
-1.3124116816774735e-15  1.0000000000000004e+00  7.5449639445593325e-02  1.8766862498493266e+00  3.4398943180794889e-01  4.4680468708017367e+00  6.4647314613091991e-02  -2.4660832668681723e-01  3.0960789492035241e-02  5.1609391838832001e-02  -2.7856385119607745e-02  4.2774158808790513e-02  
1.6999584875590285e-15  1.0000000000000002e+00  6.8397774682390522e-01  2.5467249653557475e+00  3.7447975368128019e+00  9.9313499244349099e+00  8.2320811888854706e-01  -1.6551798521918523e-01  -2.4206778333475013e-01  2.2714697852159890e-01  -9.4323540425204147e-02  2.1479661148172766e-02  
5.0050825681968288e-15  9.9999999999999989e-01  1.9884057877756706e-01  2.5980891135771342e+00  1.6229803860973206e+00  1.0366501139404328e+01  3.6381399911738249e-02  3.3340359578428574e-01  5.7598676897038882e-02  1.7151449655776183e-02  -2.0622792118915021e-02  4.6293649588720698e-03  
-1.5320545321737391e-14  1.0000000000000002e+00  2.0776056066049128e-01  2.1243001604671403e+00  9.6770289529500386e-01  6.0273674638825403e+00  3.5914109925183718e-01  4.3078458624174344e-02  -2.0401393336744916e-01  4.9203699387652178e-02  1.1376877997972740e-02  1.5702276291763930e-02  
-3.3939922428748584e-17  1.0000000000000000e+00  3.6494545077331554e-02  2.0252229748156974e+00  2.7208883057347777e-01  5.3557465701598383e+00  -1.1991573668927363e-01  -3.6085953138159507e-03  1.8291351627694097e-01  1.3638066290907112e-02  -4.7266117118171323e-02  2.9283610091512875e-02  
1.2993987170186084e-17  1.0000000000000004e+00  3.8418013076907226e-01  2.4187506931793665e+00  2.2259258938543263e+00  8.5009439869635752e+00  3.7803899167421456e-01  2.0105325441541216e-01  -1.1290492534382032e-01  3.8989902083990287e-02  -2.0817447047153242e-02  1.1419987403203234e-02  
3.6408021955451467e-16  9.9999999999999989e-01  2.2617574095613487e-02  2.3693308827376898e+00  9.5479890645824642e-02  7.7527918993439435e+00  5.1571288441465121e-02  3.5671990631572009e-01  -3.6980467474129322e-02  -2.8848542484845696e-02  4.6494291684514586e-03  1.2044193361016331e-02  
5.9604392292568603e-14  1.0000000000000004e+00  2.1703399842263504e-01  1.7381457312764776e+00  7.7636277986392066e-01  3.6777355293434981e+00  5.0791362430008669e-01  2.4824184005515077e-02  -1.7925673289969446e-01  -4.6407632030586948e-01  -6.0172079864876625e-02  2.0516120716127625e-01  
-5.7105032690327856e-14  1.0000000000000007e+00  1.0673646665180800e+00  2.3502808453897930e+00  3.9015942033361832e+00  7.3366215705412783e+00  3.6932533198532300e+00  -6.9648036334939096e+00  1.0790309982337851e+00  6.6062835612677171e+00  -5.9614413662592440e+00  1.4916853869873330e+00  
7.5292644987775174e-16  1.0000000000000002e+00  9.1319974824351738e-02  2.2138276542112258e+00  5.2347125920635862e-01  6.5970804214951420e+00  5.5701401347263979e-02  2.3405855398697420e-01  1.6786951271923891e-02  -2.3875153781409676e-02  -1.4358727680431452e-02  1.9611901517596675e-02  
3.2119480475737002e-16  1.0000000000000000e+00  -1.3598194693329940e-01  1.6434544724145725e+00  -4.4151100956452355e-01  3.2072439095631413e+00  -4.5804602197111932e-01  -2.3794608820981378e-02  2.7883993126029744e-01  -6.3324937177562857e-01  1.2659097627892315e-03  2.7682134424124893e-01  
-6.7360305005835232e-16  1.0000000000000000e+00  -4.3678877027249158e-01  2.4062392850420902e+00  -2.5597057816162159e+00  8.6973065727414731e+00  -4.0410889324108179e-01  1.4146669804475877e-02  8.5285530377551488e-02  1.1656569037276270e-01  4.1210951150285884e-02  9.3699836434599677e-03  
