#q1           q2            q3            q4            lamb1         lamb2         lamb3         lamb4         
-4.4501963704124609e-14  9.9999999999991696e-01  -3.6103659212413841e-01  2.4938795043119164e+00  -3.7761294490581732e-01  1.7753440866375231e-01  1.6565108190269545e-01  8.2637261295371828e-02  
-1.0526615424502791e-13  1.0000000000000933e+00  -1.3981992661026907e-01  2.5629931168260840e+00  -1.1631220630506509e-01  3.0962555940986608e-01  4.6045667891163877e-02  3.9023045386814337e-02  
2.8950845383918943e-14  1.0000000000000029e+00  -3.9356153491440815e-01  1.5002944863096173e+00  -1.8351395921830753e+00  -3.0875953568276397e+00  1.3817732300861485e+00  1.4674834130942331e+00  
-2.0893006110049300e-14  9.9999999999995293e-01  -2.1507578346320808e-01  2.1163390636957606e+00  -3.0874748905607219e-01  -1.5669609731018380e-01  1.5070151267670029e-01  1.6663550710549441e-01  
-1.0733386185351246e-14  1.0000000000000422e+00  -3.4475116328676925e-01  2.4443946046392533e+00  -3.7441110699835711e-01  1.4508013970803241e-01  1.6625901092117926e-01  9.0185283625677917e-02  
3.8160260437357059e-14  9.9999999999999933e-01  -3.6240919958740886e-01  2.0809939844847443e+00  -6.1214322233785390e-01  -3.4140296571134948e-01  3.2206246894104812e-01  2.4422957866986519e-01  
-8.3018127510201788e-15  1.0000000000000180e+00  -1.4496680181929839e-01  1.4311457993423931e+00  -5.8832606074627480e-01  -2.6962511072961388e+00  4.1808921593403742e-01  1.1484380884079979e+00  
1.3480530126293561e-13  1.0000000000001390e+00  -3.1563038613748007e-01  2.3360887874571969e+00  -3.7640769731675300e-01  5.8424486493702736e-02  1.7260430415508282e-01  1.1200221949399947e-01  
-2.3476669607717248e-14  1.0000000000000033e+00  -2.4247356247677226e-01  1.6446141561296743e+00  -6.9860813797008436e-01  -1.4861980049058203e+00  4.4396397998859716e-01  6.5294108306802157e-01  
-9.4280292838356752e-16  1.0000000000000051e+00  -3.4879250090830932e-01  1.3703058114393807e+00  -2.1311114504932980e+00  -4.5505650572990959e+00  1.7201176977962029e+00  2.1712347850131066e+00  
